source_id,unfinished_work,acceptance_boundary,capability,split_assessment,overlap_assessment,historical_evidence,active_dependencies,reference_notes
HTR02,"Pinned recovery/profile work still requires reset, native-BF16 rebuild, FA_ALL_QUANTS A/B, and profile evidence.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI141,HTR01.",Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (2) on predecessor.
HTR04,The source explicitly keeps cross-process resume durability deferred for later rather than closed.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: HTR01.,Frozen dependencies: HTR01.,Rewrite forward references (4); preserve historical references (1) on predecessor.
HTR05,Reusable recovery-patch extraction depends on HTR02 and has no implementation/qualification evidence.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: HI141.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (1) on predecessor.
HTR06,Long-horizon resumable recovery campaign and no-invalid-launch recurrence evidence remain unrun.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI141,HTR01,HTR03.",Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (3) on predecessor.
HTR07,The deterministic interleaved ABBA validation ladder is specified but not implemented/executed.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
KC01,EC16/EC19 representation sufficiency decision and closure gate remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: EC16,EC19,RD08.","Frozen dependencies: EC16,EC19,RD04,RD08,RD50,RD53,RO07,RO08.",Rewrite forward references (6); preserve historical references (3) on predecessor.
KC02,"Graph/DAG lifecycle identity, dependency, conflict, and provenance implementation remains planned.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: EC16,EC19.","Frozen dependencies: RD12,RD13,RD17,RD39,RD43.",Rewrite forward references (6); preserve historical references (2) on predecessor.
KC03,CPU-only provider acceptance remains undecided and unverified.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: EC16,EC19,GP03,GP07,GP08,GP10.",Frozen dependencies: none recorded.,Rewrite forward references (6); preserve historical references (6) on predecessor.
KC04,"Small-N dispatch-gap profiling, kernel coverage implementation, and benchmark/regression proof remain open.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: EC16,EC19.",Frozen dependencies: none recorded.,Rewrite forward references (4); preserve historical references (2) on predecessor.
NRO01,"Q8 wire patch remains untested; correctness, quality, and performance qualification are required.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (4); preserve historical references (0) on predecessor.
NRO02,RD89 reconciliation records NRO02 within the nasone NRO set as pending; no implementation or terminal disposition is recorded.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (0) on predecessor.
NRO03,"P2P provider correctness probes, fallback, and performance qualification remain.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (4); preserve historical references (0) on predecessor.
NRO04,RD89 reconciliation records NRO04 within the nasone NRO set as pending; no implementation or terminal disposition is recorded.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Frozen plan notes and cited reviews/evidence remain predecessor provenance; preserved IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (4); preserve historical references (0) on predecessor.
NRO05,RD89 reconciliation records NRO05 within the nasone NRO set as pending; no implementation or terminal disposition is recorded.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (4); preserve historical references (0) on predecessor.
NRO07,RD89 reconciliation records NRO07 within the nasone NRO set as pending; no implementation or terminal disposition is recorded.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (4); preserve historical references (0) on predecessor.
NRO08,RD89 reconciliation records NRO08 within the nasone NRO set as pending; no implementation or terminal disposition is recorded.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (0) on predecessor.
NRO09,RD89 reconciliation records NRO09 within the nasone NRO set as pending; no implementation or terminal disposition is recorded.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
NRO10,RD89 reconciliation records NRO10 within the nasone NRO set as pending; no implementation or terminal disposition is recorded.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
NRO11,RD89 reconciliation records NRO11 within the nasone NRO set as pending; no implementation or terminal disposition is recorded.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
NRO12,RD89 reconciliation records NRO12 within the nasone NRO set as pending; no implementation or terminal disposition is recorded.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: NRO11.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
NRO13,Upstream ancestry/backport decision and qualification remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
NRO14,RD89 reconciliation records NRO14 within the nasone NRO set as pending; no implementation or terminal disposition is recorded.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
NRO15,RD89 reconciliation records NRO15 within the nasone NRO set as pending; no implementation or terminal disposition is recorded.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
NRO16,RD89 reconciliation records NRO16 within the nasone NRO set as pending; no implementation or terminal disposition is recorded.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
PA04,"Software work is largely complete; overlay, hardware, cross-machine, and final acceptance gates remain.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: PA02,PA03,PA05,PA18,RD08,RD19.","Frozen dependencies: PA02,PA03,PA18.",Rewrite forward references (3); preserve historical references (6) on predecessor.
QU02,"Standard CLI launch/progress/completion telemetry still requires shared helper integration, tests, and documentation.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD04,Port exists; correctness matrix and cross-architecture repeat remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RD02,RD03.","Frozen dependencies: HI25,RD02,RD03.",Rewrite forward references (2); preserve historical references (2) on predecessor.
RD05,Patch exists; isolated benchmark and correctness qualification remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (0) on predecessor.
RD06,"Patch 1203 materialized the RDNA4 WMMA configuration, but the frozen item explicitly awaits isolated gfx1201 benchmarking.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RD02,RD03.","Frozen dependencies: RD02,RD03,RD05.",Rewrite forward references (2); preserve historical references (2) on predecessor.
RD07,Patch exists; eligibility benchmark and EX02 safeguard re-verification remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI71,RD02,RD03.","Frozen dependencies: EX02,RD02,RD03.",Rewrite forward references (2); preserve historical references (3) on predecessor.
RD09,Stage 1 is closed only; later stages remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RD02,RD03,RD14,RD19.","Frozen dependencies: HI26,RD02,RD03,RD10,RD12,RD14,RD24.",Rewrite forward references (7); preserve historical references (4) on predecessor.
RD10,Direct RMS-norm Q8_1 production remains planning-only and dependent on proving RD09's cache contract.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD100,"Run-id/lock issue resolved, but the original instant-fake-OK symptom remains unexplained.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",build,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD101,RD89 reconciliation explicitly records RD101 as not started and still an open third-party MTP sidecar candidate.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD102,New numerical-equivalence contract remains explicitly open.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: EC02,EC07,RD08,RD103,docs/planning/completed/ec-contracts/EC02.md,docs/planning/completed/ec-contracts/EC07.md.",Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (6) on predecessor.
RD104,"Frozen RD104 retains an open upstream-tracking and adoption path for Vulkan tensor-parallel AllReduce; the scope decision is a future gate, not completed work.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: RD68.,Frozen dependencies: RD57,RE30.,Rewrite forward references (8); preserve historical references (1) on predecessor.
RD11,Gating-MUL direct Q8_1 production remains Wave-2 work blocked on RD09; no materialization or qualification is recorded.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD12,"Patch 1205 materialized the paired-MMVQ candidate, but composition-safe correctness/performance qualification remains outstanding.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RD02,RD03.","Frozen dependencies: RD02,RD03,RD09,RD25.",Rewrite forward references (4); preserve historical references (2) on predecessor.
RD13,"Offline safety improved; CUDA equivalence, graph capture, and performance remain.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: RD02.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (1) on predecessor.
RD15,"Shared-expert output-chain fusion remains planning-only; exact-pattern, correctness, workspace, and performance acceptance are unfinished.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD17,"Patch 1207 materialized the MoE top-k fold, but the source explicitly keeps RD17 active until correctness/performance disposition.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (4); preserve historical references (0) on predecessor.
RD18,IMRoPE/BF16 SET_ROWS fusion remains planning-only and still depends on explicit patch-1004 capability/causal validation.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RD02,RD03.","Frozen dependencies: RD02,RD03.",Rewrite forward references (1); preserve historical references (2) on predecessor.
RD21,Experiment is deferred/gate-blocked on the gfx1151 prerequisite.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: HI82.,"Frozen dependencies: HI82,RD25,RD50.",Rewrite forward references (3); preserve historical references (1) on predecessor.
RD22,"Integrated-GPU host-buffer work is explicitly deferred pending relevant hardware evidence, not retired.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD24,The SSM pre-scan fusion remains an unported Wave-2 candidate dependent on RD09/bake-in correctness state.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RD14,RD16.",Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (2) on predecessor.
RD25,Frozen RD25 is an active bake-in sequencing rule whose dependent ports and regression validation remain ahead; its initial triage step being done is not item completion.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RD08,RD14.","Frozen dependencies: RD08,RD12,RD14,RD15,RD21,RD24,RD26.",Rewrite forward references (6); preserve historical references (2) on predecessor.
RD26,Only the standalone subset materialized; flash-attention and post-fix MMVQ portions remain composition-gated and full-cluster bit-identity acceptance is unfinished.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: RD08.,Frozen dependencies: none recorded.,Rewrite forward references (6); preserve historical references (1) on predecessor.
RD27,"SSM conv-input folding remains an unmaterialized candidate requiring dependency audit, port, and isolated SSM/Mamba qualification.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,"Frozen dependencies: RD09,RD24.",Rewrite forward references (3); preserve historical references (0) on predecessor.
RD28,"The original diff port was invalidated by upstream MMQ redesign, but the item was re-scoped to a still-open table-driven redesign investigation.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD30,Candidate identity/disposition and full n_expert=256 E2E qualification remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: EC08,EC13,HI105,HI54,RD94,docs/planning/completed/hip-autotune/HI105.md.",Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (6) on predecessor.
RD31,RD89 says RD31 is newly unblocked; its old diff no longer applies and the compact-map experiment still needs redesign/qualification.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RD32.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD32,RD89 says RD32 is newly unblocked; compact-grid work remains pending and depends on RD31.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RD31.,Rewrite forward references (3); preserve historical references (0) on predecessor.
RD33,"Converged null-result evidence exists, but RD89 records an explicit unfinished ncols=5/6 eligibility follow-up for the dominant MTP shape.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI13,HI67,RD29,RD87.",Frozen dependencies: none recorded.,Rewrite forward references (5); preserve historical references (4) on predecessor.
RD34,The old gfx1151 MMQ diff no longer applies; the item remains re-scoped to checking/redesigning the current table-driven configuration with hardware evidence.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD35,"The row-padding/cache-aliasing experiment retains unexecuted correctness, cache-counter, and performance acceptance work.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (0) on predecessor.
RD36,RD89 reconciliation explicitly records RD36 as still pending with no patch and as a high-value remaining candidate.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,"Frozen dependencies: RD37,RD38.",Rewrite forward references (3); preserve historical references (0) on predecessor.
RD37,K-pad F16-shadow aliasing work remains dependent on RD36 and retains unexecuted correctness/performance validation.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RD36.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD38,RD89 reconciliation explicitly records RD38 as still pending with no patch and as a high-value remaining candidate.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: EC10.,"Frozen dependencies: RD36,RD37.",Rewrite forward references (3); preserve historical references (1) on predecessor.
RD39,Upstream PR #26574 supersedes local work; no further work remains unless upstream changes.,Closed/deprecated boundary; retain predecessor history; no successor.,patching,No second boundary; frozen scope is closed or deprecated.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,"Frozen dependencies: RD40,RD41,RD42.",Rewrite forward references (4); preserve historical references (0) on predecessor.
RD40,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RD39.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD41,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RD39.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD42,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RD39,RD40,RD41,RD43,RD44.",Frozen dependencies: none recorded.,Rewrite forward references (6); preserve historical references (0) on predecessor.
RD43,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: RD42,RD44.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (0) on predecessor.
RD44,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RD39,RD40,RD41,RD42,RD43.",Frozen dependencies: none recorded.,Rewrite forward references (6); preserve historical references (0) on predecessor.
